2021-04-10 10:07:55.056313;8.8.4.4;UP
2021-04-10 10:07:55.056313;8.8.8.8;UP
2021-04-10 10:08:05.063180;192.168.1.1;DOWN
2021-04-10 10:08:05.066136;192.168.1.2;DOWN
2021-04-10 10:08:05.072852;192.168.1.3;DOWN
2021-04-10 10:07:55.056313;8.8.4.4;UP
2021-04-10 10:07:55.056313;8.8.8.8;UP
2021-04-10 10:08:18.088386;192.168.1.1;DOWN
2021-04-10 10:08:18.094432;192.168.1.3;DOWN
2021-04-10 10:08:18.099107;192.168.1.2;DOWN
2021-04-10 10:07:55.056313;8.8.4.4;UP
2021-04-10 10:07:55.056313;8.8.8.8;UP
2021-04-10 10:08:31.117139;192.168.1.2;DOWN
2021-04-10 10:08:31.121917;192.168.1.3;DOWN
2021-04-10 10:08:31.126452;192.168.1.1;DOWN
2021-04-10 10:07:55.056313;8.8.4.4;UP
2021-04-10 10:07:55.056313;8.8.8.8;UP
2021-04-10 10:08:35.679074;192.168.1.2;DOWN
2021-04-10 10:08:35.680260;192.168.1.1;DOWN
2021-04-10 10:08:35.681826;192.168.1.3;DOWN
